id,match,condicion_fisica,actuacion_tecnica,actuacion_disciplinaria,manejo_partido,personalidad,trabajo_equipo,asistente_1_x,asistente_1_comentarios,asistente_2_x,asistente_2_comentarios,cuarto_arbitro,resumen_final,minute,codes,description,asistente_1_y,asistente_2_y
0,Celta_LasPalmas,,,,,,,,,,,,,02:35,"['PAI', 'NF']",-VAR-CHECK-CP NF NC NF NC ÁRBITRO + FORCEJEO Y 19-CEL CAE EN EL ÁREA CUANDO EL BALÓN NO ESTÁ EN JUEGO,"{'Faltas': '', 'NO': '35:43-MA  45+5:52-MA  49:29-MA  51:55-MA  54:28-MA  56:10-MA  ACABA EN OCASIÓN DE GOL-CEL59:30-MA  70:09-MA  ACABA EN GOL-CEL73:07-MA  75:25-MA  ACABA EN GOL 10-CEL78:03-MA', 'FJ': '20:13-MA  72:06-MA  83:46-MA  ACABA EN GOL 12-CEL'}","{'Faltas': '13:01', 'NO': '01:58-MA  23:32-MA  35:43-MA  ACABA EN OCASIÓN DE GOL-CEL37:24-A  ACABA EN GOL 10-CEL41:49-A  ACABA EN GOL 19-CEL67:27-MA  88:05-MA  90+3:09-MA', 'FJ': '08:37-MA  22:06-MA  MILIMÉTRICO. ACABA EN OCASIÓN DE GOL-CEL27:26-MA  41:49-MA '}"
0,Celta_LasPalmas,,,,,,,,,,,,,22:03,['OIP'],OFFSIDE NC PLAY ON NC AR2 - FUERA DE JUEGO MILIMÉTRICO. ACABA EN OCASIÓN DE GOL-CEL,"{'Faltas': '', 'NO': '35:43-MA  45+5:52-MA  49:29-MA  51:55-MA  54:28-MA  56:10-MA  ACABA EN OCASIÓN DE GOL-CEL59:30-MA  70:09-MA  ACABA EN GOL-CEL73:07-MA  75:25-MA  ACABA EN GOL 10-CEL78:03-MA', 'FJ': '20:13-MA  72:06-MA  83:46-MA  ACABA EN GOL 12-CEL'}","{'Faltas': '13:01', 'NO': '01:58-MA  23:32-MA  35:43-MA  ACABA EN OCASIÓN DE GOL-CEL37:24-A  ACABA EN GOL 10-CEL41:49-A  ACABA EN GOL 19-CEL67:27-MA  88:05-MA  90+3:09-MA', 'FJ': '08:37-MA  22:06-MA  MILIMÉTRICO. ACABA EN OCASIÓN DE GOL-CEL27:26-MA  41:49-MA '}"
0,Celta_LasPalmas,,,,,,,,,,,,,32:15,"['GM', 'MR', 'HP']",NF NC NF NC ÁRBITRO + INDICA A JUG-CEL QUE DEBE ESTAR FUERA DEL ÁREA DE PENALTI PARA REALIZAR SAQUE DE META-LPA,"{'Faltas': '', 'NO': '35:43-MA  45+5:52-MA  49:29-MA  51:55-MA  54:28-MA  56:10-MA  ACABA EN OCASIÓN DE GOL-CEL59:30-MA  70:09-MA  ACABA EN GOL-CEL73:07-MA  75:25-MA  ACABA EN GOL 10-CEL78:03-MA', 'FJ': '20:13-MA  72:06-MA  83:46-MA  ACABA EN GOL 12-CEL'}","{'Faltas': '13:01', 'NO': '01:58-MA  23:32-MA  35:43-MA  ACABA EN OCASIÓN DE GOL-CEL37:24-A  ACABA EN GOL 10-CEL41:49-A  ACABA EN GOL 19-CEL67:27-MA  88:05-MA  90+3:09-MA', 'FJ': '08:37-MA  22:06-MA  MILIMÉTRICO. ACABA EN OCASIÓN DE GOL-CEL27:26-MA  41:49-MA '}"
0,Celta_LasPalmas,,,,,,,,,,,,,34:30,"['NOIP', 'NGOAL']",PLAY ON NC PLAY ON NC AR2 + PERMITE CONTINUAR EL JUEGO EN SITUACIÓN MUY AJUSTADA. ACABA EN OCASIÓN DE GOL-CEL,"{'Faltas': '', 'NO': '35:43-MA  45+5:52-MA  49:29-MA  51:55-MA  54:28-MA  56:10-MA  ACABA EN OCASIÓN DE GOL-CEL59:30-MA  70:09-MA  ACABA EN GOL-CEL73:07-MA  75:25-MA  ACABA EN GOL 10-CEL78:03-MA', 'FJ': '20:13-MA  72:06-MA  83:46-MA  ACABA EN GOL 12-CEL'}","{'Faltas': '13:01', 'NO': '01:58-MA  23:32-MA  35:43-MA  ACABA EN OCASIÓN DE GOL-CEL37:24-A  ACABA EN GOL 10-CEL41:49-A  ACABA EN GOL 19-CEL67:27-MA  88:05-MA  90+3:09-MA', 'FJ': '08:37-MA  22:06-MA  MILIMÉTRICO. ACABA EN OCASIÓN DE GOL-CEL27:26-MA  41:49-MA '}"
0,Celta_LasPalmas,,,,,,,,,,,,,36:23,"['NOIP', 'GOAL']",-VAR-CHECK-CP PLAY ON NC PLAY ON NC AR2 + PERMITE CONTINUAR EL JUEGO EN SITUACIÓN AJUSTADA. ACABA EN GOL 10-CEL,"{'Faltas': '', 'NO': '35:43-MA  45+5:52-MA  49:29-MA  51:55-MA  54:28-MA  56:10-MA  ACABA EN OCASIÓN DE GOL-CEL59:30-MA  70:09-MA  ACABA EN GOL-CEL73:07-MA  75:25-MA  ACABA EN GOL 10-CEL78:03-MA', 'FJ': '20:13-MA  72:06-MA  83:46-MA  ACABA EN GOL 12-CEL'}","{'Faltas': '13:01', 'NO': '01:58-MA  23:32-MA  35:43-MA  ACABA EN OCASIÓN DE GOL-CEL37:24-A  ACABA EN GOL 10-CEL41:49-A  ACABA EN GOL 19-CEL67:27-MA  88:05-MA  90+3:09-MA', 'FJ': '08:37-MA  22:06-MA  MILIMÉTRICO. ACABA EN OCASIÓN DE GOL-CEL27:26-MA  41:49-MA '}"
0,Celta_LasPalmas,,,,,,,,,,,,,41:49,"['NOIP', 'GOAL']",-VAR-CHECK-CP PLAY ON NC PLAY ON NC AR2 + PERMITE CONTINUAR EL JUEGO EN SITUACIÓN AJUSTADA. ACABA EN GOL 19-CEL. NO PONER,"{'Faltas': '', 'NO': '35:43-MA  45+5:52-MA  49:29-MA  51:55-MA  54:28-MA  56:10-MA  ACABA EN OCASIÓN DE GOL-CEL59:30-MA  70:09-MA  ACABA EN GOL-CEL73:07-MA  75:25-MA  ACABA EN GOL 10-CEL78:03-MA', 'FJ': '20:13-MA  72:06-MA  83:46-MA  ACABA EN GOL 12-CEL'}","{'Faltas': '13:01', 'NO': '01:58-MA  23:32-MA  35:43-MA  ACABA EN OCASIÓN DE GOL-CEL37:24-A  ACABA EN GOL 10-CEL41:49-A  ACABA EN GOL 19-CEL67:27-MA  88:05-MA  90+3:09-MA', 'FJ': '08:37-MA  22:06-MA  MILIMÉTRICO. ACABA EN OCASIÓN DE GOL-CEL27:26-MA  41:49-MA '}"
0,Celta_LasPalmas,,,,,,,,,,,,,47:30,"['PAI', 'NF']",-VAR-CHECK-CP NF NC NF NC ÁRBITRO + 33-CEL FORCEJEA Y TOCA CON EL BRAZO LEVE EL PECHO DE UN ADVERSARIO EN DISPUTA DE BALÓN,"{'Faltas': '', 'NO': '35:43-MA  45+5:52-MA  49:29-MA  51:55-MA  54:28-MA  56:10-MA  ACABA EN OCASIÓN DE GOL-CEL59:30-MA  70:09-MA  ACABA EN GOL-CEL73:07-MA  75:25-MA  ACABA EN GOL 10-CEL78:03-MA', 'FJ': '20:13-MA  72:06-MA  83:46-MA  ACABA EN GOL 12-CEL'}","{'Faltas': '13:01', 'NO': '01:58-MA  23:32-MA  35:43-MA  ACABA EN OCASIÓN DE GOL-CEL37:24-A  ACABA EN GOL 10-CEL41:49-A  ACABA EN GOL 19-CEL67:27-MA  88:05-MA  90+3:09-MA', 'FJ': '08:37-MA  22:06-MA  MILIMÉTRICO. ACABA EN OCASIÓN DE GOL-CEL27:26-MA  41:49-MA '}"
0,Celta_LasPalmas,,,,,,,,,,,,,51:10,"['NOIO', 'NGOAL']",PLAY ON NC PLAY ON NC AR1 + PERMITE CONTINUAR EL JUEGO TRAS TIRO A PORTERÍA Y 18-CEL EN POSICIÓN ADELANTADA MUEVE LA CABEZA FUERA DEL ÁREA DE META,"{'Faltas': '', 'NO': '35:43-MA  45+5:52-MA  49:29-MA  51:55-MA  54:28-MA  56:10-MA  ACABA EN OCASIÓN DE GOL-CEL59:30-MA  70:09-MA  ACABA EN GOL-CEL73:07-MA  75:25-MA  ACABA EN GOL 10-CEL78:03-MA', 'FJ': '20:13-MA  72:06-MA  83:46-MA  ACABA EN GOL 12-CEL'}","{'Faltas': '13:01', 'NO': '01:58-MA  23:32-MA  35:43-MA  ACABA EN OCASIÓN DE GOL-CEL37:24-A  ACABA EN GOL 10-CEL41:49-A  ACABA EN GOL 19-CEL67:27-MA  88:05-MA  90+3:09-MA', 'FJ': '08:37-MA  22:06-MA  MILIMÉTRICO. ACABA EN OCASIÓN DE GOL-CEL27:26-MA  41:49-MA '}"
0,Celta_LasPalmas,,,,,,,,,,,,,56:10,"['NOIP', 'GOAL']",PLAY ON NC PLAY ON NC AR1 + PERMITE CONTINUAR EL JUEGO EN SITUACIÓN MUY AJUSTADA. ACABA EN OCASIÓN DE GOL-CEL,"{'Faltas': '', 'NO': '35:43-MA  45+5:52-MA  49:29-MA  51:55-MA  54:28-MA  56:10-MA  ACABA EN OCASIÓN DE GOL-CEL59:30-MA  70:09-MA  ACABA EN GOL-CEL73:07-MA  75:25-MA  ACABA EN GOL 10-CEL78:03-MA', 'FJ': '20:13-MA  72:06-MA  83:46-MA  ACABA EN GOL 12-CEL'}","{'Faltas': '13:01', 'NO': '01:58-MA  23:32-MA  35:43-MA  ACABA EN OCASIÓN DE GOL-CEL37:24-A  ACABA EN GOL 10-CEL41:49-A  ACABA EN GOL 19-CEL67:27-MA  88:05-MA  90+3:09-MA', 'FJ': '08:37-MA  22:06-MA  MILIMÉTRICO. ACABA EN OCASIÓN DE GOL-CEL27:26-MA  41:49-MA '}"
0,Celta_LasPalmas,,,,,,,,,,,,,64:40,"['GM', 'PM', 'MR']",NF NC NF NC ÁRBITRO + 18-CEL SUJETA DE LA CAMISETA A 8-LPA. 8-LPA LEVANTA EL PUÑO Y SE EMPUJAN. DEBE ACUDIR Y DISUADIR CON AUTORIDAD,"{'Faltas': '', 'NO': '35:43-MA  45+5:52-MA  49:29-MA  51:55-MA  54:28-MA  56:10-MA  ACABA EN OCASIÓN DE GOL-CEL59:30-MA  70:09-MA  ACABA EN GOL-CEL73:07-MA  75:25-MA  ACABA EN GOL 10-CEL78:03-MA', 'FJ': '20:13-MA  72:06-MA  83:46-MA  ACABA EN GOL 12-CEL'}","{'Faltas': '13:01', 'NO': '01:58-MA  23:32-MA  35:43-MA  ACABA EN OCASIÓN DE GOL-CEL37:24-A  ACABA EN GOL 10-CEL41:49-A  ACABA EN GOL 19-CEL67:27-MA  88:05-MA  90+3:09-MA', 'FJ': '08:37-MA  22:06-MA  MILIMÉTRICO. ACABA EN OCASIÓN DE GOL-CEL27:26-MA  41:49-MA '}"
